,City,Country,Max Temp,Lat,Lng,Hotel Name
121,Kavieng,PG,84.74,-2.5744,150.7967,
122,Juneau,US,60.8,58.3019,-134.4197,
123,Cherskiy,RU,55.96,68.75,161.3,
124,Bonfim,BR,73.71,3.0833,-59.95,
125,New Norfolk,AU,52.92,-42.7826,147.0587,
126,Kazachka,RU,72.12,53.3644,38.0694,
127,Margate,GB,62.91,51.3813,1.3862,
128,Erdaojiang,CN,86.38,41.7764,126.0319,
129,Souillac,MU,73.78,-20.5167,57.5167,
130,Alofi,NU,73.29,-19.0595,-169.9187,
131,Xinxiang,CN,83.07,35.3089,113.8672,
132,Port Hedland,AU,82.45,-20.3167,118.5667,
133,Nakhon Thai,TH,91.24,17.1006,100.8374,
134,Mayo,US,80.58,38.8876,-76.5119,
135,Chokurdakh,RU,62.46,70.6333,147.9167,
136,Vila Franca Do Campo,PT,76.19,37.7167,-25.4333,
137,Manzhouli,CN,76.69,49.6,117.4333,
138,Severnyy,RU,75.24,50.677,36.5532,
139,San Patricio,US,85.89,28.017,-97.5169,
140,Yumen,CN,91.0,40.2833,97.2,
141,Ballina,AU,69.01,-28.8667,153.5667,
142,Constitucion,CL,47.93,-35.3333,-72.4167,
143,Gamba,GA,68.34,-2.65,10.0,
144,Nouadhibou,MR,73.38,20.931,-17.0347,
145,Puerto Ayora,EC,67.55,-0.7393,-90.3518,
146,Ponta Do Sol,PT,72.23,32.6667,-17.1,
147,Danilov,RU,69.39,58.1908,40.1717,
148,Terney,RU,71.92,45.0503,136.6092,
150,Anadyr,RU,50.5,64.75,177.4833,
151,Maceio,BR,72.84,-9.6658,-35.7353,
152,Copperas Cove,US,85.68,31.1241,-97.9031,
153,Pizarro,CO,74.89,4.9533,-77.366,
154,Buta,CD,68.83,2.7858,24.73,
155,Lebu,CL,48.29,-37.6167,-73.65,
156,Saint-Augustin,CA,54.32,51.226,-58.6502,
157,Longyearbyen,SJ,42.64,78.2186,15.6401,
158,Saint-Michel-Des-Saints,CA,59.94,46.6834,-73.9159,
160,Mar Del Plata,AR,50.09,-38.0023,-57.5575,
161,Great Bend,US,79.03,38.3645,-98.7648,
162,Asfi,MA,67.66,32.2994,-9.2372,
163,Berdigestyakh,RU,87.06,62.0989,126.6992,
164,Gibara,CU,78.12,21.1097,-76.1317,
165,Tecoanapa,MX,77.13,16.5167,-98.75,
166,Thinadhoo,MV,83.44,0.5333,72.9333,
167,Kemijarvi,FI,52.81,66.7131,27.4306,
168,Srednekolymsk,RU,59.67,67.45,153.6833,
169,Talcahuano,CL,46.08,-36.7167,-73.1167,
170,Komsomolskiy,UZ,93.92,40.4272,71.7189,
171,Nova Olimpia,BR,69.39,-14.7972,-57.2881,
172,Quebec,CA,66.54,46.8123,-71.2145,
173,Huilong,CN,87.06,31.8111,121.655,
174,Jizan,SA,88.74,17.3333,42.6667,
175,Zhigansk,RU,79.9,66.7697,123.3711,
176,Talnakh,RU,61.21,69.4865,88.3972,
177,Port Hueneme,US,71.51,34.1478,-119.1951,
178,Flinders,AU,66.38,-34.5833,150.8552,
179,Sabha,LY,79.2,27.0377,14.4283,
180,Coahuayana,MX,77.22,18.7333,-103.6833,
181,Port Blair,IN,86.04,11.6667,92.75,
182,Norman Wells,CA,60.84,65.282,-126.8329,
183,Isangel,VU,75.76,-19.55,169.2667,
184,Podgorica,ME,74.98,42.4411,19.2636,
185,Dukat,RU,57.9,62.55,155.55,
186,Zhucheng,CN,87.62,35.9947,119.3975,
187,Maldonado,UY,56.23,-34.6667,-54.9167,
188,Tynda,RU,73.33,55.1667,124.7167,
189,Wanning,CN,90.21,18.8003,110.3967,
190,Quatre Cocos,MU,74.08,-20.2078,57.7625,
191,Katsuura,JP,83.39,35.1333,140.3,
192,Ilulissat,GL,41.02,69.2167,-51.1,
193,Quelimane,MZ,62.67,-17.8786,36.8883,
194,Mirpur Khas,PK,89.01,25.5251,69.0159,
195,Khatanga,RU,73.65,71.9667,102.5,
196,Deputatskiy,RU,64.78,69.3,139.9,
197,Campos,BR,62.26,-21.75,-41.3,
198,Hudiksvall,SE,53.42,61.729,17.1036,
199,Troisvierges,LU,54.99,50.1211,6.0003,
200,Lompoc,US,61.02,34.6391,-120.4579,
201,Grindavik,IS,48.15,63.8424,-22.4338,
202,Cabo San Lucas,MX,84.51,22.8909,-109.9124,
203,Bontang,ID,80.02,0.1333,117.5,
204,San Antonio Del Tachira,VE,71.78,7.8145,-72.4431,
205,Ahipara,NZ,56.64,-35.1667,173.1667,
206,Havoysund,NO,48.43,70.9963,24.6622,
207,Abu Samrah,SY,83.08,35.3029,37.1841,
208,Los Llanos De Aridane,ES,69.12,28.6585,-17.9182,
209,Ancud,CL,42.67,-41.8697,-73.8203,
210,Mangaratiba,BR,63.46,-22.9597,-44.0406,
211,Egvekinot,RU,39.7,66.3167,-179.1667,
212,Amambai,BR,66.34,-23.1042,-55.2258,
213,Newcastle,AU,68.09,-32.9272,151.7765,
214,Mayumba,GA,68.13,-3.432,10.6554,
215,Lagoa,PT,71.04,39.05,-27.9833,
216,Tautira,PF,77.38,-17.7333,-149.15,
217,Vestmanna,FO,50.92,62.1564,-7.1664,
219,Kudahuvadhoo,MV,82.63,2.6708,72.8944,
220,Broken Hill,AU,60.84,-31.95,141.4333,
221,Gillette,US,62.94,44.2911,-105.5022,
222,Maumere,ID,82.69,-8.6199,122.2111,
223,Charters Towers,AU,71.89,-20.1,146.2667,
224,Jamestown,US,71.24,42.097,-79.2353,
225,Prado,BR,68.16,-17.3411,-39.2208,
226,Kpandae,GH,72.63,8.4689,-0.0113,
227,Westport,US,75.49,41.1415,-73.3579,
228,Aberdeen,GB,54.5,57.1437,-2.0981,
229,Necochea,AR,49.12,-38.5473,-58.7368,
230,Abha,SA,68.25,18.2164,42.5053,
231,Portland,US,82.8,45.5234,-122.6762,
232,Chara,RU,76.32,56.9064,118.2631,
233,Gari,RU,69.1,59.4307,62.3497,
234,Nelson Bay,AU,64.45,-32.7167,152.15,
235,Fairbanks,US,61.61,64.8378,-147.7164,
236,Princeton,US,84.0,25.5384,-80.4089,
237,Corinto,GR,88.9,37.9407,22.9573,
238,San Francisco,US,66.76,37.7749,-122.4194,
239,Qazvin,IR,82.02,36.2797,50.0049,
240,Chapais,CA,64.18,49.7834,-74.8492,
241,Presidente Medici,BR,71.35,-11.1753,-61.9014,
242,Cozumel,MX,80.67,20.5083,-86.9458,
243,Cabedelo,BR,70.47,-6.9811,-34.8339,
244,Nicolas Bravo,MX,72.95,18.45,-88.9167,
245,Sakakah,SA,90.97,29.9697,40.2064,
246,Ribeira Grande,PT,72.16,38.5167,-28.7,
247,Necocli,CO,74.97,8.4234,-76.786,
248,Caravelas,BR,67.03,-17.7125,-39.2481,
249,Nalut,LY,78.66,30.3333,10.85,
250,Kavaratti,IN,79.57,10.5669,72.642,
251,Kruisfontein,ZA,51.94,-34.0033,24.7314,
252,Fort-Shevchenko,KZ,76.32,44.5086,50.263,
253,Provideniya,RU,44.71,64.3833,-173.3,
254,Hasaki,JP,91.8,35.7333,140.8333,
255,Kununurra,AU,82.38,-15.7667,128.7333,
256,Wajima,JP,86.68,37.4,136.9,
257,Piazza Armerina,IT,76.55,37.3859,14.3672,
258,Itacarambi,BR,62.29,-15.1022,-44.0919,
259,Old Town,CZ,60.28,50.087,14.4202,
260,Ocos,GT,75.38,14.5094,-92.1933,
261,Aswan,EG,89.49,24.0934,32.907,
262,Severo-Kurilsk,RU,54.9,50.6789,156.125,
263,Culaman,PH,84.25,5.9603,125.6586,
264,Kutum,SD,72.68,14.2,24.6667,
265,Uruguaiana,BR,67.93,-29.7547,-57.0883,
266,Nemuro,JP,65.01,43.3236,145.575,
267,Erzurum,TR,60.48,40.0,41.5,
268,Nanortalik,GL,42.13,60.1432,-45.2371,
269,Shetpe,KZ,77.04,44.1667,52.1167,
270,Tura,IN,82.4,25.5198,90.2201,
271,Namibe,AO,60.76,-15.1961,12.1522,
272,Camana,PE,59.32,-16.6228,-72.7111,
273,Kolokani,ML,75.24,13.5728,-8.0339,
274,Trelew,AR,39.15,-43.249,-65.3051,
275,Lisala,CD,70.0,2.15,21.5167,
276,Rioja,AR,52.05,-29.4111,-66.8507,
277,Gazanjyk,TM,91.83,39.2446,55.5154,
