,City,Country,Max Temp,Lat,Lng,Hotel Name
89,Tuatapere,NZ,44.6,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
90,Vestmannaeyjar,IS,51.31,63.4427,-20.2734,Glamping & Camping
91,Uspenka,UA,77.38,48.3903,39.1619,"Санаторий-профилакторий ""Парус"""
92,Esperance,AU,67.55,-33.8667,121.9,Hospitality Esperance
93,Roald,NO,52.0,62.5833,6.1333,Flem Cabins
94,Salinas,US,64.0,36.6777,-121.6555,Laurel Inn & Conference Center
95,Quito,EC,47.35,-0.2299,-78.5249,Hotel Boutique Plaza Sucre
96,Kaeo,NZ,58.32,-35.1,173.7833,Bushido Lodge
97,Vaini,TO,75.36,-21.2,-175.2,Keleti Beach Resort
98,Port Elizabeth,ZA,59.29,-33.918,25.5701,39 On Nile Guest House
99,Suna,RU,65.68,57.8338,50.0588,Gostinitsa Mirazh
100,East London,ZA,61.74,-33.0153,27.9116,Tu Casa
101,Zunyi,CN,79.92,27.6867,106.9072,
102,Sola,VU,80.17,-13.8833,167.55,Leumerus Bungalows
103,Praia Da Vitoria,PT,72.75,38.7333,-27.0667,Hotel Branco I
104,Xichang,CN,80.85,27.8964,102.2634,Xichang ibis Hotel
105,Tuktoyaktuk,CA,46.4,69.4541,-133.0374,End of The Road Ltd.
106,Saint George,US,73.99,37.1041,-113.5841,Best Western Plus Abbey Inn
107,Namioka,JP,84.42,40.7072,140.5894,Restaurant & INN Sunrise
108,Saint-Leu,RE,72.68,-21.15,55.2833,La Caz Oceane
109,Aklavik,CA,49.96,68.2191,-135.0107,Aklavik Inn
110,Nikolskoye,RU,63.88,59.7035,30.7861,Tourist House - Sablino
111,Kota Kinabalu,MY,87.78,5.9749,116.0724,Gaya Centre Hotel
112,Colares,PT,68.29,38.7992,-9.4469,Arribas Sintra Hotel
113,Bluff,NZ,47.8,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
114,Airai,TL,71.29,-8.9266,125.4092,
115,Kaitangata,NZ,44.78,-46.2817,169.8464,Kaitangata Motor Camp
